Sessao_Numero,Topicos_Abordados,Duracao_Total_Sessao,Tempo_Exposicao_Tema,Tempo_Exercicios_Fixacao
15,"5. Performance: Prática de tocar em público e desenvolver presença de palco; 5.1. Música de Câmara: Tocar em pequenos grupos (Introdução)","60 min","35 min (Introdução à importância da performance e presença de palco; Apresentação do conceito de música de câmara e seus benefícios.)","25 min (Exercícios de presença de palco e preparação para tocar em grupo.)"
16,"5.1. Música de Câmara: Tocar em pequenos grupos","60 min","35 min (Prática de tocar em pequenos grupos, como duos, trios e quartetos; Desenvolvimento da interação musical e habilidades de ensemble.)","25 min (Ensaio de peças de música de câmara em grupo.)"
17,"5.2. Apresentações Solo: Desenvolver confiança e expressão individual","60 min","35 min (Técnicas para desenvolver confiança e expressão individual em apresentações solo; Preparação para tocar em público.)","25 min (Prática de peças solo e simulação de apresentações.)"
18,"6. Composição e Arranjo: Criação de peças musicais e adaptação de músicas existentes; 6.1. Improvisação: Criação espontânea de melodias e harmonias (Introdução)","60 min","35 min (Introdução à composição e arranjo musical; Apresentação do conceito de improvisação e técnicas básicas.)","25 min (Exercícios de improvisação com melodias e harmonias simples.)"
19,"6.1. Improvisação: Criação espontânea de melodias e harmonias","60 min","35 min (Desenvolvimento de habilidades de improvisação com diferentes estilos musicais; Criação de melodias e harmonias espontâneas.)","25 min (Prática de improvisação com diferentes estilos e acompanhamentos.)"
20,"6.2. Orquestração: Distribuição de melodias e harmonias entre diferentes instrumentos (Introdução)","60 min","35 min (Introdução à orquestração e a distribuição de melodias e harmonias entre diferentes instrumentos; Estudo das características de cada instrumento.)","25 min (Análise de partituras orquestrais e identificação das funções de cada instrumento.)"
21,"6.2. Orquestração: Distribuição de melodias e harmonias entre diferentes instrumentos","60 min","35 min (Prática de orquestração com diferentes instrumentos; Criação de arranjos para pequenas orquestras.)","25 min (Exercícios de orquestração com diferentes instrumentos.)"
22,"7. Música e Tecnologia: Uso de softwares e equipamentos para produção musical; 7.1. Gravação: Técnicas de captação e edição de áudio (Introdução)","60 min","35 min (Introdução à música e tecnologia; Apresentação das técnicas de gravação e edição de áudio.)","25 min (Experimentos com softwares de gravação e edição de áudio.)"
23,"7.1. Gravação: Técnicas de captação e edição de áudio","60 min","35 min (Prática de técnicas de gravação com diferentes microfones e equipamentos; Edição de áudio com softwares especializados.)","25 min (Gravação de instrumentos e vozes; Edição de áudio com softwares.)"
24,"7.2. Produção Musical: Criação de arranjos e mixagem de faixas (Introdução)","60 min","35 min (Introdução à produção musical e criação de arranjos; Apresentação das técnicas de mixagem de faixas.)","25 min (Experimentos com softwares de produção musical e criação de arranjos simples.)"
25,"7.2. Produção Musical: Criação de arranjos e mixagem de faixas","60 min","35 min (Prática de produção musical com diferentes softwares; Criação de arranjos e mixagem de faixas.)","25 min (Produção de faixas musicais com diferentes instrumentos e efeitos.)"
26,"8. Conjunto Musical: Participação em grupos musicais; 8.1. Orquestra/Banda: Tocar em grandes formações","60 min","35 min (Participação em orquestras e bandas; Prática de tocar em grandes formações; Desenvolver a interação musical e habilidades de ensemble.)","25 min (Ensaio com a orquestra/banda.)"
27,"8.2. Coral: Prática de canto em grupo","60 min","35 min (Prática de canto em grupo com o coral; Desenvolver a técnica vocal e a harmonia em grupo; Participar em apresentações do coral.)","25 min (Ensaio com o coral.)"
28,"9. Condução: Técnicas básicas para dirigir e ensaiar conjuntos; 9.1. Habilidade de Ensaio: Preparação para conduzir ensaios e apresentações","60 min","35 min (Apresentar as técnicas básicas para dirigir e ensaiar conjuntos; Desenvolver a habilidade de ensaio para conduzir ensaios e apresentações.)","25 min (Preparar para conduzir ensaios e apresentações.)"
29,"9.2. Análise de Partitura: Preparação de partituras para conduzir ensaios","60 min","35 min (Analisar partituras para conduzir ensaios; Preparar as partituras para conduzir ensaios.)","25 min (Analisar e preparar as partituras para conduzir ensaios.)"
30,"10. Outras áreas da música: Estudo de etnomusicologia e produção musical; 10.1. Etnomusicologia: Explorar a música em diferentes contextos culturais e sociais","60 min","35 min (Estudo de etnomusicologia; Explorar a música em diferentes contextos culturais e sociais.)","25 min (Explorar a música em diferentes contextos culturais e sociais.)"
31,"10.2. Empreendedorismo: Desenvolver as aptidões de gestão para a área musical","60 min","35 min (Desenvolver as aptidões de gestão para a área musical; Desenvolver habilidades de gestão para a área musical.)","25 min (Praticar o desenvolvimento das habilidades de gestão para a área musical.)"
